ADAL,Avoidance
ADEL,Avoidance
ADFL,Taxis
ADLL,Taxis
AFDL,Taxis
AIAL,Taxis
AIBL,Taxis
AIML,Taxis
AINL,Taxis
AIYL,Taxis
AIZL,Taxis
ALA,Taxis
ALML,Avoidance
ALNL,Sublateral
AQR,Avoidance
ASEL,Taxis
ASGL,Taxis
ASHL,Avoidance
ASIL,Taxis
ASJL,Taxis
ASKL,Taxis
AUAL,Taxis
AVAL,Avoidance
AVBL,Avoidance
AVDL,Avoidance
AVEL,Anterior
AVFL,Taxis
AVHL,Avoidance
AVJL,Avoidance
AVKL,Lateral
AVL,Lateral
AVM,Avoidance
AWAL,Taxis
AWBL,Taxis
AWCL,Taxis
BAGL,Taxis
BDUL,Avoidance
CEPDL,Anterior
CEPVL,Anterior
DVA,Sublateral
DVC,Lateral
FLPL,Avoidance
IL1DL,Anterior
IL1L,Anterior
IL1VL,Anterior
IL2DL,Anterior
IL2L,Anterior
IL2VL,Anterior
OLLL,Anterior
OLQDL,Anterior
OLQVL,Anterior
PVCL,Avoidance
PVPL,Avoidance
PVQL,Taxis
PVT,Lateral
RIAL,Anterior
RIBL,Taxis
RICL,Sublateral
RID,Taxis
RIFL,Avoidance
RIGL,Lateral
RIH,Anterior
RIML,Lateral
RIPL,Anterior
RIR,Taxis
RIS,Lateral
RIVL,Lateral
RMDDL,Anterior
RMDL,Anterior
RMDVL,Anterior
RMED,Anterior
RMEL,Anterior
RMEV,Anterior
RMFL,Lateral
RMGL,Sublateral
RMHL,Sublateral
SAADL,Lateral
SAAVL,Lateral
SDQL,Sublateral
SIADL,Sublateral
SIAVL,Sublateral
SIBDL,Sublateral
SIBVL,Sublateral
SMBDL,Sublateral
SMBVL,Sublateral
SMDDL,Lateral
SMDVL,Lateral
URADL,Anterior
URAVL,Anterior
URBL,Sublateral
URXL,Taxis
URYDL,Anterior
URYVL,Anterior
